iter	Accuracy	Logloss
0	0.7437927026	0.6556812971
1	0.7624801347	0.62681424
2	0.7629917971	0.6043956702
3	0.7708403016	0.5859340296
4	0.772380713	0.5709501371
5	0.7801822097	0.5589357557
6	0.7815671336	0.5483965185
7	0.7826989382	0.5385340278
8	0.8005691567	0.531247407
9	0.8013140505	0.5236407029
10	0.8012073788	0.5160675012
11	0.8072424647	0.5091468986
12	0.8079783185	0.5032840332
13	0.8074051842	0.4980180704
14	0.8174142423	0.4927365565
15	0.8131961909	0.4875249392
16	0.8192819007	0.4819483705
17	0.8208331601	0.4779625796
18	0.8189311498	0.473831232
19	0.8229991376	0.4695667359
20	0.8302491959	0.4654892874
21	0.8259118169	0.461605309
22	0.8301262523	0.4586503972
23	0.8331492192	0.4550616776
24	0.837906053	0.451777262
25	0.8323338137	0.4490315658
26	0.8327876203	0.4453946721
27	0.8299689567	0.4422061268
28	0.8362101541	0.4395733225
29	0.8382658439	0.4365229472
30	0.8389619218	0.4343001073
31	0.8418348252	0.4312671377
32	0.8453513747	0.4287176984
33	0.8455285582	0.4262962811
34	0.8497538415	0.4237730054
35	0.8465211472	0.4214870999
36	0.8497574575	0.4191675478
37	0.8500503526	0.4171639355
38	0.8503956796	0.4150782622
39	0.8507627025	0.4125427858
40	0.8491770913	0.4103841891
41	0.8492060192	0.4081476385
42	0.8492457951	0.4062679024
43	0.8534403425	0.4041506463
44	0.8557437276	0.4019806372
45	0.8559317591	0.3994797357
46	0.8561414864	0.3977027493
47	0.8597430116	0.3958744855
48	0.8601064186	0.3940807849
49	0.8628726503	0.3925070274
50	0.8631474655	0.3908919738
51	0.863290297	0.389321373
52	0.8655213624	0.38778863
53	0.8672678851	0.3862440445
54	0.8673817888	0.3846011256
55	0.8705385473	0.3829980047
56	0.8685569853	0.3814191331
57	0.8708404824	0.3793085224
58	0.8710176659	0.3778257447
59	0.8712689772	0.3764341254
60	0.8744980555	0.3751955357
61	0.8714714726	0.3737482245
62	0.8716106881	0.3726192761
63	0.871661312	0.3711854731
64	0.8728672444	0.3696525346
65	0.8731131316	0.368347001
66	0.8719325112	0.3668371934
67	0.8765320494	0.365316711
68	0.8784467157	0.3642261033
69	0.8794917366	0.3629827782
70	0.8809128203	0.3615755011
71	0.8811677475	0.3602197124
72	0.8813232351	0.3590097173
73	0.8812979232	0.3573564346
74	0.8816649461	0.3562169472
75	0.8817336499	0.3553038426
76	0.8790379299	0.3541739712
77	0.8794971605	0.3530208302
78	0.8797050799	0.3518797799
79	0.881014068	0.3502216936
80	0.881024916	0.3492023026
81	0.8830715658	0.3480044387
82	0.8831493096	0.3469143866
83	0.8827153909	0.3459559782
84	0.8828744944	0.3450207511
85	0.8852827432	0.3438916475
86	0.88637658	0.3426358965
87	0.8888860765	0.3417119128
88	0.889690634	0.3405233812
89	0.8897756098	0.3396738764
90	0.8899853372	0.3385843022
91	0.8900811609	0.3375117859
92	0.8902619603	0.3366026488
93	0.8902782323	0.3352692016
94	0.8904644557	0.3344007486
95	0.8878537115	0.3335106182
96	0.8906344072	0.3326537214
97	0.8894266668	0.331872286
98	0.8895857704	0.3308656054
99	0.8885443655	0.3300587522
100	0.8914697007	0.3288886109
101	0.8903559761	0.327886461
102	0.8904734957	0.3269862034
103	0.8904228719	0.3262553773
104	0.8904680717	0.3254299727
105	0.8904355278	0.3247155815
106	0.8905964393	0.3237247521
107	0.8906542952	0.3227893095
108	0.8907374629	0.3220362036
109	0.8920753789	0.3213042876
110	0.8946083793	0.3204881542
111	0.8964398779	0.3197188385
112	0.8975716825	0.3187761681
113	0.8990976299	0.3180871406
114	0.9010014482	0.3173275765
115	0.9018222777	0.3166954057
116	0.9019741493	0.3159482791
117	0.9008333047	0.3152398671
118	0.9010213361	0.3143257233
119	0.9002601704	0.3136064276
120	0.9010376081	0.3127788037
121	0.9025201637	0.3120708408
122	0.9039972952	0.3114210351
123	0.9035434886	0.3105323861
124	0.9036212324	0.3096683576
125	0.903756832	0.308915184
126	0.9043769741	0.3080587563
127	0.9055105867	0.3074113231
128	0.9053044753	0.306691822
129	0.9054563469	0.3059669179
130	0.9061596568	0.305208811
131	0.9044872618	0.3044123549
132	0.9051055959	0.3038047668
133	0.9051562198	0.3031974188
134	0.9051092119	0.3023765747
135	0.9052665074	0.3016660302
136	0.9060330971	0.3010821327
137	0.9065700715	0.3002788947
138	0.906745447	0.2996447672
139	0.9068774306	0.2990227266
140	0.9073890931	0.2982062447
141	0.9070003743	0.297629952
142	0.9072354136	0.2970117909
143	0.9094520149	0.2963767921
144	0.9094682869	0.2958141828
145	0.9103126203	0.2952346016
146	0.9102963484	0.294641157
147	0.9109381865	0.2936196962
148	0.9120537191	0.2928819293
149	0.9120591431	0.2922476941
150	0.9122525985	0.291729538
151	0.9122616385	0.2910500578
152	0.9128112689	0.2902688858
153	0.9135163868	0.289646965
154	0.9126991732	0.2890403308
155	0.9129956843	0.2884239059
156	0.913105972	0.287856363
157	0.9138707537	0.2873480021
158	0.9139973133	0.2868180829
159	0.9141311049	0.2862705831
160	0.9129577164	0.2856641279
161	0.9122363266	0.2851818535
162	0.9123719262	0.2844799872
163	0.9119669354	0.283720011
164	0.9120772231	0.2831818457
165	0.9121766628	0.2826098757
166	0.9122218626	0.282031323
167	0.9117228561	0.2813173396
168	0.9125689976	0.2806873416
169	0.9129938763	0.2800970374
170	0.9143426403	0.2795723435
171	0.914422192	0.2791725733
172	0.9150351022	0.2786899701
173	0.9155160288	0.2781082384
174	0.9155214528	0.2775709076
175	0.9156606683	0.2769248901
176	0.9157040602	0.2764356354
177	0.9158179639	0.2759562624
178	0.917099832	0.2754684806
179	0.9172281997	0.275001114
180	0.918123157	0.2744096087
181	0.9193001615	0.2739208752
182	0.9199076476	0.2732531266
183	0.9199582715	0.2728144029
184	0.9200088953	0.2720710797
185	0.9202348947	0.2716241198
186	0.9203379503	0.2711294619
187	0.9205332138	0.270660663
188	0.9204880139	0.2701155538
189	0.9205766056	0.2696054438
190	0.9206471174	0.2690675302
191	0.9207393251	0.2686249933
192	0.9199600795	0.2681486178
193	0.9200143193	0.2676649395
194	0.9204735499	0.2672396824
195	0.9205983016	0.2667551438
196	0.9206362695	0.2661026612
197	0.9206778533	0.2656054236
198	0.9207483651	0.2650522063
199	0.9207537891	0.2646465829
